"fdc_id","data_type","description","food_category_id","publication_date"
"1098859","survey_fndds_food","Halibut, baked or broiled, made with butter","","2020-10-30"
"1098860","survey_fndds_food","Halibut, baked or broiled, made with margarine","","2020-10-30"
"1098861","survey_fndds_food","Halibut, baked or broiled, no added fat","","2020-10-30"
"1098862","survey_fndds_food","Halibut, baked or broiled, made with cooking spray","","2020-10-30"
"1098863","survey_fndds_food","Halibut, coated, baked or broiled, made with oil","","2020-10-30"
"1098864","survey_fndds_food","Halibut, coated, baked or broiled, made with butter","","2020-10-30"
"1098865","survey_fndds_food","Halibut, coated, baked or broiled, made with margarine","","2020-10-30"
"1098866","survey_fndds_food","Halibut, coated, baked or broiled, no added fat","","2020-10-30"
"1098867","survey_fndds_food","Halibut, coated, baked or broiled, made with cooking spray","","2020-10-30"
"1098868","survey_fndds_food","Halibut, coated, fried, made with oil","","2020-10-30"
"1098869","survey_fndds_food","Halibut, coated, fried, made with butter","","2020-10-30"
"1098870","survey_fndds_food","Halibut, coated, fried, made with margarine","","2020-10-30"
"1098871","survey_fndds_food","Halibut, coated, fried, no added fat","","2020-10-30"
"1098872","survey_fndds_food","Halibut, coated, fried, made with cooking spray","","2020-10-30"
"1098873","survey_fndds_food","Halibut, steamed or poached","","2020-10-30"
"1098874","survey_fndds_food","Halibut, smoked","","2020-10-30"
"1098875","survey_fndds_food","Herring, raw","","2020-10-30"
"1098876","survey_fndds_food","Herring, cooked, NS as to cooking method","","2020-10-30"
"1098877","survey_fndds_food","Herring, baked or broiled, fat added","","2020-10-30"
"1098878","survey_fndds_food","Herring, baked or broiled, no added fat","","2020-10-30"
"1098879","survey_fndds_food","Herring, coated, baked or broiled, fat added","","2020-10-30"
"1098880","survey_fndds_food","Herring, coated, baked or broiled, no added fat","","2020-10-30"
"1098881","survey_fndds_food","Herring, coated, fried","","2020-10-30"
"1098882","survey_fndds_food","Herring, pickled, in cream sauce","","2020-10-30"
"1098883","survey_fndds_food","Herring, dried, salted","","2020-10-30"
"1098884","survey_fndds_food","Herring, pickled","","2020-10-30"
"1098885","survey_fndds_food","Herring, smoked, kippered","","2020-10-30"
"1098886","survey_fndds_food","Mackerel, raw","","2020-10-30"
"1098887","survey_fndds_food","Mackerel, cooked, NS as to cooking method","","2020-10-30"
"1098888","survey_fndds_food","Mackerel, baked or broiled, fat added","","2020-10-30"
"1098889","survey_fndds_food","Mackerel, baked or broiled, no added fat","","2020-10-30"
"1098890","survey_fndds_food","Mackerel, coated, baked or broiled, fat added","","2020-10-30"
"1098891","survey_fndds_food","Mackerel, coated, baked or broiled, no added fat","","2020-10-30"
"1098892","survey_fndds_food","Mackerel, coated, fried","","2020-10-30"
"1098893","survey_fndds_food","Mackerel, pickled","","2020-10-30"
"1098894","survey_fndds_food","Mackerel, canned","","2020-10-30"
"1098895","survey_fndds_food","Mackerel, smoked","","2020-10-30"
"1098896","survey_fndds_food","Mullet, raw","","2020-10-30"
"1098897","survey_fndds_food","Mullet, cooked, NS as to cooking method","","2020-10-30"
"1098898","survey_fndds_food","Mullet, baked or broiled, fat added","","2020-10-30"
"1098899","survey_fndds_food","Mullet, baked or broiled, no added fat","","2020-10-30"
"1098900","survey_fndds_food","Mullet, coated, baked or broiled, fat added","","2020-10-30"
"1098901","survey_fndds_food","Mullet, coated, baked or broiled, no added fat","","2020-10-30"
"1098902","survey_fndds_food","Mullet, coated, fried","","2020-10-30"
"1098903","survey_fndds_food","Mullet, steamed or poached","","2020-10-30"
"1098904","survey_fndds_food","Ocean perch, raw","","2020-10-30"
"1098905","survey_fndds_food","Ocean perch, cooked, NS as to cooking method","","2020-10-30"
"1098906","survey_fndds_food","Ocean perch, baked or broiled, fat added","","2020-10-30"
"1098907","survey_fndds_food","Ocean perch, baked or broiled, no added fat","","2020-10-30"
"1098908","survey_fndds_food","Ocean perch, coated, baked or broiled, fat added","","2020-10-30"
"1098909","survey_fndds_food","Ocean perch, coated, baked or broiled, no added fat","","2020-10-30"
"1098910","survey_fndds_food","Ocean perch, coated, fried","","2020-10-30"
"1098911","survey_fndds_food","Ocean perch, steamed or poached","","2020-10-30"
"1098912","survey_fndds_food","Perch, cooked, NS as to cooking method","","2020-10-30"
"1098913","survey_fndds_food","Perch, baked or broiled, made with oil","","2020-10-30"
"1098914","survey_fndds_food","Perch, baked or broiled, made with butter","","2020-10-30"
"1098915","survey_fndds_food","Perch, baked or broiled, made with margarine","","2020-10-30"
"1098916","survey_fndds_food","Perch, baked or broiled, no added fat","","2020-10-30"
"1098917","survey_fndds_food","Perch, baked or broiled, made with cooking spray","","2020-10-30"
"1098918","survey_fndds_food","Perch, coated, baked or broiled, made with oil","","2020-10-30"
"1098919","survey_fndds_food","Perch, coated, baked or broiled, made with butter","","2020-10-30"
"1098920","survey_fndds_food","Perch, coated, baked or broiled, made with margarine","","2020-10-30"
"1098921","survey_fndds_food","Perch, coated, baked or broiled, no added fat","","2020-10-30"
"1098922","survey_fndds_food","Perch, coated, baked or broiled, made with cooking spray","","2020-10-30"
"1098923","survey_fndds_food","Perch, coated, fried, made with oil","","2020-10-30"
"1098924","survey_fndds_food","Perch, coated, fried, made with butter","","2020-10-30"
"1098925","survey_fndds_food","Perch, coated, fried, made with margarine","","2020-10-30"
"1098926","survey_fndds_food","Perch, coated, fried, no added fat","","2020-10-30"
"1098927","survey_fndds_food","Perch, coated, fried, made with cooking spray","","2020-10-30"
"1098928","survey_fndds_food","Perch, steamed or poached","","2020-10-30"
"1098929","survey_fndds_food","Pike, cooked, NS as to cooking method","","2020-10-30"
"1098930","survey_fndds_food","Pike, baked or broiled, fat added","","2020-10-30"
"1098931","survey_fndds_food","Pike, baked or broiled, no added fat","","2020-10-30"
"1098932","survey_fndds_food","Pike, coated, baked or broiled, fat added","","2020-10-30"
"1098933","survey_fndds_food","Pike, coated, baked or broiled, no added fat","","2020-10-30"
"1098934","survey_fndds_food","Pike, coated, fried","","2020-10-30"
"1098935","survey_fndds_food","Pike, steamed or poached","","2020-10-30"
"1098936","survey_fndds_food","Pompano, raw","","2020-10-30"
"1098937","survey_fndds_food","Pompano, cooked, NS as to cooking method","","2020-10-30"
"1098938","survey_fndds_food","Pompano, baked or broiled, fat added","","2020-10-30"
"1098939","survey_fndds_food","Pompano, baked or broiled, no added fat","","2020-10-30"
"1098940","survey_fndds_food","Pompano, coated, baked or broiled, fat added","","2020-10-30"
"1098941","survey_fndds_food","Pompano, coated, baked or broiled, no added fat","","2020-10-30"
"1098942","survey_fndds_food","Pompano, coated, fried","","2020-10-30"
"1098943","survey_fndds_food","Pompano, steamed or poached","","2020-10-30"
"1098944","survey_fndds_food","Pompano, smoked","","2020-10-30"
"1098945","survey_fndds_food","Porgy, raw","","2020-10-30"
"1098946","survey_fndds_food","Porgy, cooked, NS as to cooking method","","2020-10-30"
"1098947","survey_fndds_food","Porgy, baked or broiled, fat added","","2020-10-30"
"1098948","survey_fndds_food","Porgy, baked or broiled, no added fat","","2020-10-30"
"1098949","survey_fndds_food","Porgy, coated, baked or broiled, fat added","","2020-10-30"
"1098950","survey_fndds_food","Porgy, coated, baked or broiled, no added fat","","2020-10-30"
"1098951","survey_fndds_food","Porgy, coated, fried","","2020-10-30"
"1098952","survey_fndds_food","Porgy, steamed or poached","","2020-10-30"
"1098953","survey_fndds_food","Ray, cooked, NS as to cooking method","","2020-10-30"
"1098954","survey_fndds_food","Ray, baked or broiled, fat added","","2020-10-30"
"1098955","survey_fndds_food","Ray, baked or broiled, no added fat","","2020-10-30"
"1098956","survey_fndds_food","Ray, coated, baked or broiled, fat added","","2020-10-30"
"1098957","survey_fndds_food","Ray, coated, baked or broiled, no added fat","","2020-10-30"
"1098958","survey_fndds_food","Ray, coated, fried","","2020-10-30"
"1098959","survey_fndds_food","Ray, steamed or poached","","2020-10-30"
"1098960","survey_fndds_food","Salmon, raw","","2020-10-30"
"1098961","survey_fndds_food","Salmon, cooked, NS as to cooking method","","2020-10-30"
"1098962","survey_fndds_food","Salmon, baked or broiled, made with oil","","2020-10-30"
"1098963","survey_fndds_food","Salmon, baked or broiled, made with butter","","2020-10-30"
"1098964","survey_fndds_food","Salmon, baked or broiled, made with margarine","","2020-10-30"
"1098965","survey_fndds_food","Salmon, baked or broiled, no added fat","","2020-10-30"
"1098966","survey_fndds_food","Salmon, baked or broiled, made with cooking spray","","2020-10-30"
"1098967","survey_fndds_food","Salmon, coated, baked or broiled, made with oil","","2020-10-30"
"1098968","survey_fndds_food","Salmon, coated, baked or broiled, made with butter","","2020-10-30"
"1098969","survey_fndds_food","Salmon, coated, baked or broiled, made with margarine","","2020-10-30"
"1098970","survey_fndds_food","Salmon, coated, baked or broiled, no added fat","","2020-10-30"
"1098971","survey_fndds_food","Salmon, coated, baked or broiled, made with cooking spray","","2020-10-30"
"1098972","survey_fndds_food","Salmon, coated, fried, made with oil","","2020-10-30"
"1098973","survey_fndds_food","Salmon, coated, fried, made with butter","","2020-10-30"
"1098974","survey_fndds_food","Salmon, coated, fried, made with margarine","","2020-10-30"
"1098975","survey_fndds_food","Salmon, coated, fried, no added fat","","2020-10-30"
"1098976","survey_fndds_food","Salmon, coated, fried, made with cooking spray","","2020-10-30"
"1098977","survey_fndds_food","Salmon, steamed or poached","","2020-10-30"
"1098978","survey_fndds_food","Salmon, dried","","2020-10-30"
"1098979","survey_fndds_food","Salmon, canned","","2020-10-30"
"1098980","survey_fndds_food","Salmon, smoked","","2020-10-30"
"1098981","survey_fndds_food","Sardines, cooked","","2020-10-30"
"1098982","survey_fndds_food","Sardines, dried","","2020-10-30"
"1098983","survey_fndds_food","Sardines, canned in oil","","2020-10-30"
"1098984","survey_fndds_food","Sardines, skinless, boneless, packed in water","","2020-10-30"
"1098985","survey_fndds_food","Sea bass, cooked, NS as to cooking method","","2020-10-30"
"1098986","survey_fndds_food","Sea bass, baked or broiled, fat added","","2020-10-30"
"1098987","survey_fndds_food","Sea bass, baked or broiled, no added fat","","2020-10-30"
"1098988","survey_fndds_food","Sea bass, coated, baked or broiled, fat added","","2020-10-30"
"1098989","survey_fndds_food","Sea bass, coated, baked or broiled, no added fat","","2020-10-30"
"1098990","survey_fndds_food","Sea bass, coated, fried","","2020-10-30"
"1098991","survey_fndds_food","Sea bass, steamed or poached","","2020-10-30"
"1098992","survey_fndds_food","Sea bass, pickled","","2020-10-30"
"1098993","survey_fndds_food","Shark, cooked, NS as to cooking method","","2020-10-30"
"1098994","survey_fndds_food","Shark, baked or broiled, fat added","","2020-10-30"
"1098995","survey_fndds_food","Shark, baked or broiled, no added fat","","2020-10-30"
"1098996","survey_fndds_food","Shark, coated, baked or broiled, fat added","","2020-10-30"
"1098997","survey_fndds_food","Shark, coated, baked or broiled, no added fat","","2020-10-30"
"1098998","survey_fndds_food","Shark, coated, fried","","2020-10-30"
"1098999","survey_fndds_food","Shark, steamed or poached","","2020-10-30"
"1099000","survey_fndds_food","Sturgeon, cooked, NS as to cooking method","","2020-10-30"
"1099001","survey_fndds_food","Sturgeon, baked or broiled, fat added","","2020-10-30"
"1099002","survey_fndds_food","Sturgeon, steamed","","2020-10-30"
"1099003","survey_fndds_food","Sturgeon, coated, fried","","2020-10-30"
"1099004","survey_fndds_food","Sturgeon, smoked","","2020-10-30"
"1099005","survey_fndds_food","Swordfish, cooked, NS as to cooking method","","2020-10-30"
"1099006","survey_fndds_food","Swordfish, baked or broiled, fat added","","2020-10-30"
"1099007","survey_fndds_food","Swordfish, baked or broiled, no added fat","","2020-10-30"
"1099008","survey_fndds_food","Swordfish, coated, baked or broiled, fat added","","2020-10-30"
"1099009","survey_fndds_food","Swordfish, coated, baked or broiled, no added fat","","2020-10-30"
"1099010","survey_fndds_food","Swordfish, coated, fried","","2020-10-30"
"1099011","survey_fndds_food","Swordfish, steamed or poached","","2020-10-30"
"1099012","survey_fndds_food","Trout, cooked, NS as to cooking method","","2020-10-30"
"1099013","survey_fndds_food","Trout, baked or broiled, made with oil","","2020-10-30"
"1099014","survey_fndds_food","Trout, baked or broiled, made with butter","","2020-10-30"
"1099015","survey_fndds_food","Trout, baked or broiled, made with margarine","","2020-10-30"
"1099016","survey_fndds_food","Trout, baked or broiled, no added fat","","2020-10-30"
"1099017","survey_fndds_food","Trout, baked or broiled, made with cooking spray","","2020-10-30"
"1099018","survey_fndds_food","Trout, coated, baked or broiled, made with oil","","2020-10-30"
"1099019","survey_fndds_food","Trout, coated, baked or broiled, made with butter","","2020-10-30"
"1099020","survey_fndds_food","Trout, coated, baked or broiled, made with margarine","","2020-10-30"
"1099021","survey_fndds_food","Trout, coated, baked or broiled, no added fat","","2020-10-30"
"1099022","survey_fndds_food","Trout, coated, baked or broiled, made with cooking spray","","2020-10-30"
"1099023","survey_fndds_food","Trout, coated, fried, made with oil","","2020-10-30"
"1099024","survey_fndds_food","Trout, coated, fried, made with butter","","2020-10-30"
"1099025","survey_fndds_food","Trout, coated, fried, made with margarine","","2020-10-30"
"1099026","survey_fndds_food","Trout, coated, fried, no added fat","","2020-10-30"
"1099027","survey_fndds_food","Trout, coated, fried, made with cooking spray","","2020-10-30"
"1099028","survey_fndds_food","Trout, steamed or poached","","2020-10-30"
"1099029","survey_fndds_food","Trout, smoked","","2020-10-30"
"1099030","survey_fndds_food","Tuna, fresh, raw","","2020-10-30"
"1099031","survey_fndds_food","Tuna, fresh, cooked, NS as to cooking method","","2020-10-30"
"1099032","survey_fndds_food","Tuna, fresh, baked or broiled, fat added","","2020-10-30"
"1099033","survey_fndds_food","Tuna, fresh, baked or broiled, no added fat","","2020-10-30"
"1099034","survey_fndds_food","Tuna, fresh, coated, baked or broiled, fat added","","2020-10-30"
"1099035","survey_fndds_food","Tuna, fresh, coated, baked or broiled, no added fat","","2020-10-30"
"1099036","survey_fndds_food","Tuna, fresh, coated, fried","","2020-10-30"
"1099037","survey_fndds_food","Tuna, fresh, steamed or poached","","2020-10-30"
"1099038","survey_fndds_food","Tuna, fresh, dried","","2020-10-30"
"1099039","survey_fndds_food","Tuna, fresh, smoked","","2020-10-30"
"1099040","survey_fndds_food","Tuna, canned, NS as to oil or water pack","","2020-10-30"
"1099041","survey_fndds_food","Tuna, canned, oil pack","","2020-10-30"
"1099042","survey_fndds_food","Tuna, canned, water pack","","2020-10-30"
"1099043","survey_fndds_food","Whiting, cooked, NS as to cooking method","","2020-10-30"
"1099044","survey_fndds_food","Whiting, baked or broiled, made with oil","","2020-10-30"
"1099045","survey_fndds_food","Whiting, baked or broiled, made with butter","","2020-10-30"
"1099046","survey_fndds_food","Whiting, baked or broiled, made with margarine","","2020-10-30"
"1099047","survey_fndds_food","Whiting, baked or broiled, no added fat","","2020-10-30"
"1099048","survey_fndds_food","Whiting, baked or broiled, made with cooking spray","","2020-10-30"
"1099049","survey_fndds_food","Whiting, coated, baked or broiled, made with oil","","2020-10-30"
"1099050","survey_fndds_food","Whiting, coated, baked or broiled, made with butter","","2020-10-30"
"1099051","survey_fndds_food","Whiting, coated, baked or broiled, made with margarine","","2020-10-30"
"1099052","survey_fndds_food","Whiting, coated, baked or broiled, no added fat","","2020-10-30"
"1099053","survey_fndds_food","Whiting, coated, baked or broiled, made with cooking spray","","2020-10-30"
"1099054","survey_fndds_food","Whiting, coated, fried, made with oil","","2020-10-30"
"1099055","survey_fndds_food","Whiting, coated, fried, made with butter","","2020-10-30"
"1099056","survey_fndds_food","Whiting, coated, fried, made with margarine","","2020-10-30"
"1099057","survey_fndds_food","Whiting, coated, fried, no added fat","","2020-10-30"
"1099058","survey_fndds_food","Whiting, coated, fried, made with cooking spray","","2020-10-30"
"1099059","survey_fndds_food","Whiting, steamed or poached","","2020-10-30"
"1099060","survey_fndds_food","Tilapia, cooked, NS as to cooking method","","2020-10-30"
"1099061","survey_fndds_food","Tilapia, baked or broiled, made with oil","","2020-10-30"
"1099062","survey_fndds_food","Tilapia, baked or broiled, made with butter","","2020-10-30"
"1099063","survey_fndds_food","Tilapia, baked or broiled, made with margarine","","2020-10-30"
"1099064","survey_fndds_food","Tilapia, baked or broiled, no added fat","","2020-10-30"
"1099065","survey_fndds_food","Tilapia, baked or broiled, made with cooking spray","","2020-10-30"
"1099066","survey_fndds_food","Tilapia, coated, baked or broiled, made with oil","","2020-10-30"
"1099067","survey_fndds_food","Tilapia, coated, baked or broiled, made with butter","","2020-10-30"
"1099068","survey_fndds_food","Tilapia, coated, baked or broiled, made with margarine","","2020-10-30"
"1099069","survey_fndds_food","Tilapia, coated, baked or broiled, no added fat","","2020-10-30"
"1099070","survey_fndds_food","Tilapia, coated, baked or broiled, made with cooking spray","","2020-10-30"
"1099071","survey_fndds_food","Tilapia, coated, fried, made with oil","","2020-10-30"
"1099072","survey_fndds_food","Tilapia, coated, fried, made with butter","","2020-10-30"
"1099073","survey_fndds_food","Tilapia, coated, fried, made with margarine","","2020-10-30"
"1099074","survey_fndds_food","Tilapia, coated, fried, no added fat","","2020-10-30"
"1099075","survey_fndds_food","Tilapia, coated, fried, made with cooking spray","","2020-10-30"
"1099076","survey_fndds_food","Tilapia, steamed or poached","","2020-10-30"
"1099077","survey_fndds_food","Frog legs, NS as to cooking method","","2020-10-30"
"1099078","survey_fndds_food","Frog legs, steamed","","2020-10-30"
"1099079","survey_fndds_food","Octopus, cooked, NS as to cooking method","","2020-10-30"
"1099080","survey_fndds_food","Octopus, steamed","","2020-10-30"
"1099081","survey_fndds_food","Octopus, dried","","2020-10-30"
"1099082","survey_fndds_food","Octopus, dried, boiled","","2020-10-30"
"1099083","survey_fndds_food","Octopus, smoked","","2020-10-30"
"1099084","survey_fndds_food","Roe, shad, cooked","","2020-10-30"
"1099085","survey_fndds_food","Roe, herring","","2020-10-30"
"1099086","survey_fndds_food","Roe, sturgeon","","2020-10-30"
"1099087","survey_fndds_food","Squid, raw","","2020-10-30"
"1099088","survey_fndds_food","Squid, baked or broiled, fat added","","2020-10-30"
"1099089","survey_fndds_food","Squid, baked or broiled, no added fat","","2020-10-30"
"1099090","survey_fndds_food","Squid, coated, baked or broiled, fat added","","2020-10-30"
"1099091","survey_fndds_food","Squid, coated, baked or broiled, no added fat","","2020-10-30"
"1099092","survey_fndds_food","Squid, coated, fried","","2020-10-30"
"1099093","survey_fndds_food","Squid, steamed or boiled","","2020-10-30"
"1099094","survey_fndds_food","Squid, dried","","2020-10-30"
"1099095","survey_fndds_food","Squid, pickled","","2020-10-30"
"1099096","survey_fndds_food","Squid, canned","","2020-10-30"
"1099097","survey_fndds_food","Turtle, cooked, NS as to cooking method","","2020-10-30"
"1099098","survey_fndds_food","Abalone, cooked, NS as to cooking method","","2020-10-30"
"1099099","survey_fndds_food","Abalone, floured or breaded, fried","","2020-10-30"
"1099100","survey_fndds_food","Abalone, steamed or poached","","2020-10-30"
"1099101","survey_fndds_food","Clams, raw","","2020-10-30"
"1099102","survey_fndds_food","Clams, cooked, NS as to cooking method","","2020-10-30"
"1099103","survey_fndds_food","Clams, baked or broiled, fat added","","2020-10-30"
"1099104","survey_fndds_food","Clams, baked or broiled, no added fat","","2020-10-30"
"1099105","survey_fndds_food","Clams, coated, baked or broiled, fat added","","2020-10-30"
"1099106","survey_fndds_food","Clams, coated, baked or broiled, no added fat","","2020-10-30"
"1099107","survey_fndds_food","Clams, coated, fried","","2020-10-30"
"1099108","survey_fndds_food","Clams, steamed or boiled","","2020-10-30"
"1099109","survey_fndds_food","Clams, canned","","2020-10-30"
"1099110","survey_fndds_food","Clams, smoked, in oil","","2020-10-30"
"1099111","survey_fndds_food","Crab, cooked, NS as to cooking method","","2020-10-30"
"1099112","survey_fndds_food","Crab, baked or broiled, fat added","","2020-10-30"
"1099113","survey_fndds_food","Crab, baked or broiled, no added fat","","2020-10-30"
"1099114","survey_fndds_food","Crab, coated, baked or broiled, fat added","","2020-10-30"
"1099115","survey_fndds_food","Crab, coated, baked or broiled, no added fat","","2020-10-30"
"1099116","survey_fndds_food","Crab, hard shell, steamed","","2020-10-30"
"1099117","survey_fndds_food","Crab, canned","","2020-10-30"
"1099118","survey_fndds_food","Crab, soft shell, coated, fried","","2020-10-30"
"1099119","survey_fndds_food","Crayfish, coated, fried","","2020-10-30"
"1099120","survey_fndds_food","Crayfish, boiled or steamed","","2020-10-30"
"1099121","survey_fndds_food","Lobster, cooked, NS as to cooking method","","2020-10-30"
"1099122","survey_fndds_food","Lobster, baked or broiled, fat added","","2020-10-30"
"1099123","survey_fndds_food","Lobster, baked or broiled, no added fat","","2020-10-30"
"1099124","survey_fndds_food","Lobster, coated, fried","","2020-10-30"
"1099125","survey_fndds_food","Lobster, steamed or boiled","","2020-10-30"
"1099126","survey_fndds_food","Lobster, coated, baked or broiled, fat added","","2020-10-30"
"1099127","survey_fndds_food","Lobster, coated, baked or broiled, no added fat","","2020-10-30"
"1099128","survey_fndds_food","Lobster, canned","","2020-10-30"
"1099129","survey_fndds_food","Mussels, raw","","2020-10-30"
"1099130","survey_fndds_food","Mussels, cooked, NS as to cooking method","","2020-10-30"
"1099131","survey_fndds_food","Mussels, steamed or poached","","2020-10-30"
"1099132","survey_fndds_food","Oysters, raw","","2020-10-30"
"1099133","survey_fndds_food","Oysters, cooked, NS as to cooking method","","2020-10-30"
"1099134","survey_fndds_food","Oysters, baked or broiled, fat added","","2020-10-30"
"1099135","survey_fndds_food","Oysters, baked or broiled, no added fat","","2020-10-30"
"1099136","survey_fndds_food","Oysters, steamed","","2020-10-30"
"1099137","survey_fndds_food","Oysters, coated, fried","","2020-10-30"
"1099138","survey_fndds_food","Oysters, coated, baked or broiled, fat added","","2020-10-30"
"1099139","survey_fndds_food","Oysters, coated, baked or broiled, no added fat","","2020-10-30"
"1099140","survey_fndds_food","Oysters, canned","","2020-10-30"
"1099141","survey_fndds_food","Oysters, smoked","","2020-10-30"
"1099142","survey_fndds_food","Scallops, cooked, NS as to cooking method","","2020-10-30"
"1099143","survey_fndds_food","Scallops, baked or broiled, fat added","","2020-10-30"
"1099144","survey_fndds_food","Scallops, baked or broiled, no added fat","","2020-10-30"
"1099145","survey_fndds_food","Scallops, steamed or boiled","","2020-10-30"
"1099146","survey_fndds_food","Scallops, coated, fried","","2020-10-30"
"1099147","survey_fndds_food","Scallops, coated, baked or broiled, fat added","","2020-10-30"
"1099148","survey_fndds_food","Scallops, coated, baked or broiled, no added fat","","2020-10-30"
"1099149","survey_fndds_food","Shrimp, cooked, NS as to cooking method","","2020-10-30"
"1099150","survey_fndds_food","Shrimp, baked or broiled, made with oil","","2020-10-30"
"1099151","survey_fndds_food","Shrimp, baked or broiled, made with butter","","2020-10-30"
"1099152","survey_fndds_food","Shrimp, baked or broiled, made with margarine","","2020-10-30"
"1099153","survey_fndds_food","Shrimp, baked or broiled, no added fat","","2020-10-30"
"1099154","survey_fndds_food","Shrimp, baked or broiled, made with cooking spray","","2020-10-30"
"1099155","survey_fndds_food","Shrimp, steamed or boiled","","2020-10-30"
"1099156","survey_fndds_food","Shrimp, coated, fried, made with oil","","2020-10-30"
"1099157","survey_fndds_food","Shrimp, coated, fried, made with butter","","2020-10-30"
"1099158","survey_fndds_food","Shrimp, coated, fried, made with margarine","","2020-10-30"
"1099159","survey_fndds_food","Shrimp, coated, fried, no added fat","","2020-10-30"
"1099160","survey_fndds_food","Shrimp, coated, fried, made with cooking spray","","2020-10-30"
"1099161","survey_fndds_food","Shrimp, coated, fried, from fast food / restaurant","","2020-10-30"
"1099162","survey_fndds_food","Shrimp, coated, baked or broiled, made with oil","","2020-10-30"
"1099163","survey_fndds_food","Shrimp, coated, baked or broiled, made with butter","","2020-10-30"
"1099164","survey_fndds_food","Shrimp, coated, baked or broiled, made with margarine","","2020-10-30"
"1099165","survey_fndds_food","Shrimp, coated, baked or broiled, no added fat","","2020-10-30"
"1099166","survey_fndds_food","Shrimp, coated, baked or broiled, made with cooking spray","","2020-10-30"
"1099167","survey_fndds_food","Shrimp, dried","","2020-10-30"
"1099168","survey_fndds_food","Shrimp, canned","","2020-10-30"
"1099169","survey_fndds_food","Snails, cooked, NS as to cooking method","","2020-10-30"
"1099170","survey_fndds_food","Beef with tomato-based sauce","","2020-10-30"
"1099171","survey_fndds_food","Beef goulash","","2020-10-30"
"1099172","survey_fndds_food","Beef burgundy","","2020-10-30"
"1099173","survey_fndds_food","Beef stew, no potatoes, tomato-based sauce, Mexican style","","2020-10-30"
"1099174","survey_fndds_food","Beef stew, no potatoes, tomato-based sauce, with chili peppers, Mexican style","","2020-10-30"
"1099175","survey_fndds_food","Chili con carne, NS as to beans","","2020-10-30"
"1099176","survey_fndds_food","Chili con carne with beans, from restaurant","","2020-10-30"
"1099177","survey_fndds_food","Chili con carne with beans, home recipe","","2020-10-30"
"1099178","survey_fndds_food","Chili con carne with beans, canned","","2020-10-30"
"1099179","survey_fndds_food","Chili con carne with beans","","2020-10-30"
"1099180","survey_fndds_food","Chili con carne without beans","","2020-10-30"
"1099181","survey_fndds_food","Chili con carne, NS as to beans, with cheese","","2020-10-30"
"1099182","survey_fndds_food","Chili con carne with beans and cheese","","2020-10-30"
"1099183","survey_fndds_food","Beef sloppy joe, no bun","","2020-10-30"
"1099184","survey_fndds_food","Beef with gravy","","2020-10-30"
"1099185","survey_fndds_food","Salisbury steak with gravy","","2020-10-30"
"1099186","survey_fndds_food","Beef with cream or white sauce","","2020-10-30"
"1099187","survey_fndds_food","Beef stroganoff","","2020-10-30"
"1099188","survey_fndds_food","Creamed chipped or dried beef","","2020-10-30"
"1099189","survey_fndds_food","Swedish meatballs with cream or white sauce","","2020-10-30"
"1099190","survey_fndds_food","Beef with mushroom sauce","","2020-10-30"
"1099191","survey_fndds_food","Beef with soy-based sauce","","2020-10-30"
"1099192","survey_fndds_food","Steak teriyaki","","2020-10-30"
"1099193","survey_fndds_food","Beef curry","","2020-10-30"
"1099194","survey_fndds_food","Beef curry with rice","","2020-10-30"
"1099195","survey_fndds_food","Beef with barbecue sauce","","2020-10-30"
"1099196","survey_fndds_food","Beef with sweet and sour sauce","","2020-10-30"
"1099197","survey_fndds_food","Stewed seasoned ground beef, Mexican style","","2020-10-30"
"1099198","survey_fndds_food","Steak tartare","","2020-10-30"
"1099199","survey_fndds_food","Meatballs, Puerto Rican style","","2020-10-30"
"1099200","survey_fndds_food","Stewed seasoned ground beef, Puerto Rican style","","2020-10-30"
"1099201","survey_fndds_food","Stewed dried beef, Puerto Rican style","","2020-10-30"
"1099202","survey_fndds_food","Stuffed pot roast, Puerto Rican style, NFS","","2020-10-30"
"1099203","survey_fndds_food","Beef stew, meat with gravy, no potatoes, Puerto Rican style","","2020-10-30"
"1099204","survey_fndds_food","Ham or pork with gravy","","2020-10-30"
"1099205","survey_fndds_food","Ham or pork with barbecue sauce","","2020-10-30"
"1099206","survey_fndds_food","Sweet and sour pork","","2020-10-30"
"1099207","survey_fndds_food","Ham stroganoff","","2020-10-30"
"1099208","survey_fndds_food","Ham or pork with mushroom sauce","","2020-10-30"
"1099209","survey_fndds_food","Ham or pork with tomato-based sauce","","2020-10-30"
"1099210","survey_fndds_food","Sausage with tomato-based sauce","","2020-10-30"
"1099211","survey_fndds_food","Sausage gravy","","2020-10-30"
"1099212","survey_fndds_food","Pork stew, no potatoes, tomato-based sauce, Mexican style","","2020-10-30"
"1099213","survey_fndds_food","Pork or ham with soy-based sauce","","2020-10-30"
"1099214","survey_fndds_food","Frankfurter or hot dog, with chili, no bun","","2020-10-30"
"1099215","survey_fndds_food","Frankfurters or hot dogs with tomato-based sauce","","2020-10-30"
"1099216","survey_fndds_food","Pork with chili and tomatoes","","2020-10-30"
"1099217","survey_fndds_food","Stewed pork, Puerto Rican style","","2020-10-30"
"1099218","survey_fndds_food","Chili con carne with beans, made with pork","","2020-10-30"
"1099219","survey_fndds_food","Lamb or mutton with gravy","","2020-10-30"
